mode,fileid,off_failed,off_sil_occupancy,final-only_failed,final-only_sil_occupancy,initial-only_failed,initial-only_sil_occupancy,both_failed,both_sil_occupancy
multipron,arctic_a0304,False,26.0927734375,False,23.0927734375,False,26.0927734375,False,23.0927734375
multipron,arctic_a0305,False,19.8359375,False,16.8359375,False,19.8359375,False,16.8349609375
multipron,arctic_a0306,False,32.7880859375,False,32.7880859375,False,32.7880859375,False,32.7890625
multipron,arctic_a0307,False,40.1630859375,False,40.162109375,False,40.162109375,False,40.162109375
multipron,arctic_a0308,False,24.19140625,False,24.19140625,False,24.1923828125,False,24.19140625
multipron,arctic_a0309,False,45.375,False,45.375,False,45.375,False,45.375
multipron,arctic_a0310,False,43.0498046875,False,43.0498046875,False,43.048828125,False,43.0498046875
multipron,arctic_a0311,False,38.8837890625,False,38.8837890625,False,38.884765625,False,38.8837890625
multipron,arctic_a0312,False,22.0048828125,False,19.00390625,False,22.00390625,False,19.00390625
multipron,arctic_a0313,False,36.9150390625,False,36.916015625,False,36.9150390625,False,36.916015625
multipron,arctic_a0314,False,27.0322265625,False,27.033203125,False,27.0341796875,False,27.0322265625
multipron,arctic_a0315,False,30.23828125,False,30.2373046875,False,30.2373046875,False,30.23828125
multipron,arctic_a0316,False,20.80078125,False,17.80078125,False,20.7998046875,False,17.80078125
multipron,arctic_a0317,False,39.1708984375,False,39.1708984375,False,39.1708984375,False,39.1708984375
multipron,arctic_a0318,False,19.7421875,False,16.0439453125,False,19.7431640625,False,16.04296875
multipron,arctic_a0319,False,42.2265625,False,42.2255859375,False,42.2255859375,False,42.2265625
multipron,arctic_a0320,False,20.8271484375,False,17.3154296875,False,20.828125,False,17.3154296875
multipron,arctic_a0321,False,16.1826171875,False,13.1826171875,False,16.1826171875,False,13.1826171875
multipron,arctic_a0322,False,18.8251953125,False,15.826171875,False,18.8251953125,False,15.826171875
multipron,arctic_a0323,False,18.14453125,False,15.14453125,False,18.1435546875,False,15.14453125
multipron,arctic_a0324,False,38.6318359375,False,38.630859375,False,38.6328125,False,38.630859375
multipron,arctic_a0325,False,33.1923828125,False,33.193359375,False,33.1923828125,False,33.193359375
